#,,,,"generated_by='OpenQuake engine 3.16.1', start_date='2023-05-23T00:22:57', checksum=843156240"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA
qd639bn8,1.15750E+02,-3.20800E+01,1.18242E-01,1.60628E+00
qd639cyd,1.15750E+02,-3.20700E+01,1.22819E-01,1.54549E+00
qd639gws,1.15750E+02,-3.20600E+01,1.26004E-01,1.60971E+00
qd639vqx,1.15750E+02,-3.20500E+01,1.36369E-01,1.60850E+00
qd639zq9,1.15750E+02,-3.20400E+01,1.37451E-01,1.52436E+00
qd63ccne,1.15750E+02,-3.20300E+01,1.35836E-01,1.55470E+00
qd63cfyt,1.15750E+02,-3.20200E+01,1.41690E-01,1.49045E+00
qd63cuy8,1.15750E+02,-3.20100E+01,1.37974E-01,1.54369E+00
qd63cywd,1.15750E+02,-3.20000E+01,1.44165E-01,1.52978E+00
qd661bqs,1.15750E+02,-3.19900E+01,1.50468E-01,1.56763E+00
qd661fnw,1.15750E+02,-3.19800E+01,1.40518E-01,1.60378E+00
qd669uqt,1.15750E+02,-3.18800E+01,1.47109E-01,1.53362E+00
qd669ynx,1.15750E+02,-3.18700E+01,1.42997E-01,1.56586E+00
qd66ccys,1.15750E+02,-3.18500E+01,1.32083E-01,1.55968E+00
qd66cgww,1.15750E+02,-3.18400E+01,1.29076E-01,1.59060E+00
qd66cvw8,1.15750E+02,-3.18300E+01,1.26208E-01,1.52402E+00
qd66czqe,1.15750E+02,-3.18200E+01,1.35550E-01,1.60913E+00
qd671cnt,1.15750E+02,-3.18100E+01,1.42191E-01,1.60736E+00
qd671fyx,1.15750E+02,-3.18000E+01,1.30946E-01,1.57961E+00
qd671uy9,1.15750E+02,-3.17900E+01,1.16139E-01,1.62081E+00
qd671yws,1.15750E+02,-3.17800E+01,1.29118E-01,1.53197E+00
qd673bqw,1.15750E+02,-3.17700E+01,1.23598E-01,1.59964E+00
qd673fq8,1.15750E+02,-3.17600E+01,1.11545E-01,1.54411E+00
qd673und,1.15750E+02,-3.17500E+01,1.18428E-01,1.54817E+00
qd673vyt,1.15750E+02,-3.17400E+01,1.10115E-01,1.59960E+00
qd673zwx,1.15750E+02,-3.17300E+01,1.11253E-01,1.56697E+00
qd679cw9,1.15750E+02,-3.17200E+01,9.94522E-02,1.62056E+00
qd67cfws,1.15750E+02,-3.16700E+01,7.79528E-02,1.57341E+00
qd67cuqx,1.15750E+02,-3.16600E+01,7.51152E-02,1.60829E+00
qd4qdnvc,1.15760E+02,-3.25700E+01,2.11682E-02,1.59642E+00
qd4qfhmb,1.15760E+02,-3.25400E+01,2.39244E-02,1.62790E+00
qd4qfpvv,1.15760E+02,-3.25200E+01,2.56646E-02,1.61579E+00
